X,Y
0.00000,254.200
0.01042,252.400
0.02083,253.000
0.03125,250.800
0.04167,252.400
0.05208,253.800
0.06250,252.800
0.07292,250.800
0.08333,250.800
0.09375,254.200
0.10417,250.200
0.11458,250.200
0.12500,250.200
0.13542,252.000
0.14583,251.800
0.15625,254.000
0.16667,249.800
0.17708,252.200
0.18750,250.600
0.19792,252.000
0.20833,250.600
0.21875,249.400
0.22917,251.600
0.23958,252.200
0.25000,249.600
0.26042,248.600
0.27083,250.200
0.28125,248.200
0.29167,248.000
0.30208,246.800
0.31250,246.400
0.32292,247.600
0.33333,248.600
0.34375,242.600
0.35417,238.800
0.36458,236.000
0.37500,242.400
0.38542,242.000
0.39583,242.200
0.40625,246.800
0.41667,246.200
0.42708,243.000
0.43750,241.800
0.44792,241.600
0.45833,242.200
0.46875,241.400
0.47917,238.600
0.48958,243.000
0.50000,242.200
0.51042,236.400
0.52083,227.600
0.53125,229.800
0.54167,224.600
0.55208,223.600
0.56250,223.600
0.57292,220.400
0.58333,216.600
0.59375,211.800
0.60417,208.400
0.61458,212.000
0.62500,213.400
0.63542,216.400
0.64583,208.800
0.65625,203.800
0.66667,197.800
0.67708,194.600
0.68750,193.000
0.69792,192.000
0.70833,191.800
0.71875,192.400
0.72917,190.400
0.73958,192.800
0.75000,189.200
0.76042,186.000
0.77083,181.400
0.78125,175.000
0.79167,175.000
0.80208,173.600
0.81250,166.000
0.82292,159.600
0.83333,157.000
0.84375,149.000
0.85417,146.600
0.86458,142.000
0.87500,145.400
0.88542,147.400
0.89583,148.400
0.90625,153.600
0.91667,156.800
0.92708,158.600
0.93750,158.200
0.94792,154.200
0.95833,146.600
0.96875,137.200
0.97917,133.000
0.98958,128.800
1.00000,131.800
1.01042,140.400
1.02083,140.200
1.03125,137.400
1.04167,133.000
1.05208,121.800
1.06250,116.600
1.07292,105.200
1.08333,101.800
1.09375,99.800
1.10417,93.800
1.11458,90.800
1.12500,89.400
1.13542,85.600
1.14583,72.000
1.15625,71.000
1.16667,72.000
1.17708,63.400
1.18750,64.800
1.19792,67.400
1.20833,64.800
1.21875,70.600
1.22917,73.600
1.23958,73.600
1.25000,71.000
1.26042,63.800
1.27083,63.200
1.28125,53.600
1.29167,49.000
1.30208,45.600
1.31250,43.000
1.32292,41.800
1.33333,44.000
1.34375,40.200
1.35417,35.400
1.36458,40.200
1.37500,32.000
1.38542,30.600
1.39583,36.400
1.40625,36.600
1.41667,49.600
1.42708,59.000
1.43750,71.800
1.44792,76.800
1.45833,78.600
1.46875,85.200
1.47917,82.800
1.48958,84.400
1.50000,83.800
1.51042,85.400
1.52083,87.000
1.53125,87.800
1.54167,93.200
1.55208,94.400
1.56250,97.000
1.57292,96.000
1.58333,98.000
1.59375,95.400
1.60417,94.000
1.61458,90.400
1.62500,99.000
1.63542,95.000
1.64583,100.600
1.65625,111.000
1.66667,120.400
1.67708,120.000
1.68750,128.000
1.69792,138.400
1.70833,145.400
1.71875,149.600
1.72917,157.000
1.73958,159.000
1.75000,167.200
1.76042,173.600
1.77083,176.000
1.78125,176.600
1.79167,173.400
1.80208,175.800
1.81250,176.000
1.82292,185.800
1.83333,189.000
1.84375,188.400
1.85417,190.200
1.86458,188.200
1.87500,188.000
1.88542,197.600
1.89583,198.600
1.90625,200.800
1.91667,207.800
1.92708,207.600
1.93750,209.800
1.94792,211.800
1.95833,210.000
1.96875,216.600
1.97917,222.200
1.98958,228.400
2.00000,229.800
2.01042,226.200
2.02083,227.000
2.03125,230.800
2.04167,237.400
2.05208,240.800
2.06250,241.200
2.07292,242.200
2.08333,239.600
2.09375,241.800
2.10417,239.800
2.11458,237.400
2.12500,237.400
2.13542,236.600
2.14583,237.200
2.15625,236.800
2.16667,241.600
2.17708,241.800
2.18750,241.400
2.19792,238.800
2.20833,239.800
2.21875,243.600
2.22917,242.200
2.23958,240.400
2.25000,236.000
2.26042,237.000
2.27083,243.600
2.28125,246.800
2.29167,246.800
2.30208,248.800
2.31250,249.000
2.32292,249.200
2.33333,252.000
2.34375,246.000
2.35417,248.800
2.36458,249.200
2.37500,249.400
2.38542,246.400
2.39583,246.200
2.40625,243.200
2.41667,244.800
2.42708,243.400
2.43750,243.800
2.44792,251.200
2.45833,248.200
2.46875,250.600
2.47917,250.400
2.48958,251.200
2.50000,250.800
2.51042,252.600
2.52083,253.200
2.53125,251.600
2.54167,252.600
2.55208,253.600
2.56250,253.400
2.57292,252.800
2.58333,252.200
2.59375,252.600
2.60417,249.000
2.61458,253.400
2.62500,253.000
2.63542,252.400
2.64583,253.200
2.65625,251.800
2.66667,250.400
2.67708,252.800
2.68750,252.600
2.69792,251.000
2.70833,253.600
2.71875,254.600
2.72917,251.400
2.73958,252.800
2.75000,249.800
2.76042,250.800
