X,Y
0.00000,251.1579
0.01042,253.0000
0.02083,253.3158
0.03125,253.3684
0.04167,253.2105
0.05208,252.4211
0.06250,254.0526
0.07292,253.3684
0.08333,254.0526
0.09375,253.2105
0.10417,253.0526
0.11458,251.4737
0.12500,253.4737
0.13542,253.5263
0.14583,252.8947
0.15625,253.4737
0.16667,253.9474
0.17708,251.7895
0.18750,253.5263
0.19792,251.9474
0.20833,253.2105
0.21875,253.5789
0.22917,252.3158
0.23958,251.6842
0.25000,253.2105
0.26042,253.5789
0.27083,252.5263
0.28125,253.3684
0.29167,254.3158
0.30208,253.1579
0.31250,253.3158
0.32292,252.9474
0.33333,252.4737
0.34375,252.6316
0.35417,252.7895
0.36458,254.4737
0.37500,252.7895
0.38542,253.8421
0.39583,253.0526
0.40625,252.5789
0.41667,253.0000
0.42708,253.4211
0.43750,253.0000
0.44792,251.0526
0.45833,252.5263
0.46875,252.5263
0.47917,252.5789
0.48958,251.4737
0.50000,252.9474
0.51042,251.7368
0.52083,253.3158
0.53125,253.0000
0.54167,253.3684
0.55208,251.4737
0.56250,252.6842
0.57292,252.5789
0.58333,252.5789
0.59375,252.3684
0.60417,252.5789
0.61458,252.2105
0.62500,253.0000
0.63542,252.9474
0.64583,251.0526
0.65625,253.4737
0.66667,252.1579
0.67708,251.8947
0.68750,251.3684
0.69792,252.7368
0.70833,253.1579
0.71875,252.4211
0.72917,253.3158
0.73958,252.1579
0.75000,251.5263
0.76042,252.4737
0.77083,253.4211
0.78125,251.2632
0.79167,253.2632
0.80208,253.1579
0.81250,252.0526
0.82292,253.9474
0.83333,252.9474
0.84375,252.2632
0.85417,252.6316
0.86458,252.0000
0.87500,253.8421
0.88542,253.1053
0.89583,252.5789
0.90625,252.3158
0.91667,253.0000
0.92708,251.5789
0.93750,251.2632
0.94792,250.9474
0.95833,253.1053
0.96875,252.3158
0.97917,251.2632
0.98958,252.2632
1.00000,251.5789
1.01042,250.8421
1.02083,250.7895
1.03125,253.0526
1.04167,252.3684
1.05208,251.9474
1.06250,251.1579
1.07292,251.3684
1.08333,249.2105
1.09375,251.6316
1.10417,251.5263
1.11458,248.4737
1.12500,251.7895
1.13542,251.0526
1.14583,250.5263
1.15625,252.1053
1.16667,252.5789
1.17708,250.4737
1.18750,250.0526
1.19792,249.8947
1.20833,249.8421
1.21875,250.3684
1.22917,248.5263
1.23958,248.5263
1.25000,249.0526
1.26042,247.7895
1.27083,248.3158
1.28125,247.6316
1.29167,249.4211
1.30208,248.4737
1.31250,247.5789
1.32292,249.8947
1.33333,249.3158
1.34375,248.7895
1.35417,248.3684
1.36458,251.2105
1.37500,250.0526
1.38542,247.2105
1.39583,249.1053
1.40625,250.3158
1.41667,247.1053
1.42708,248.8947
1.43750,252.4211
1.44792,249.4737
1.45833,249.1053
1.46875,248.1053
1.47917,249.6316
1.48958,249.8947
1.50000,249.2632
1.51042,249.5789
1.52083,249.1053
1.53125,248.1053
1.54167,249.1579
1.55208,246.4737
1.56250,247.2105
1.57292,247.2105
1.58333,245.9474
1.59375,246.8947
1.60417,247.5789
1.61458,245.8947
1.62500,246.9474
1.63542,247.2632
1.64583,247.2632
1.65625,248.2105
1.66667,247.1579
1.67708,245.4737
1.68750,246.2632
1.69792,244.0000
1.70833,245.5263
1.71875,245.7368
1.72917,242.4737
1.73958,244.6842
1.75000,246.3158
1.76042,245.2632
1.77083,243.8947
1.78125,242.6842
1.79167,242.8947
1.80208,243.4211
1.81250,239.8421
1.82292,237.8421
1.83333,237.4211
1.84375,235.1579
1.85417,237.3684
1.86458,234.6316
1.87500,232.2632
1.88542,231.0526
1.89583,229.7895
1.90625,229.2632
1.91667,226.8947
1.92708,228.0000
1.93750,226.8421
1.94792,229.5263
1.95833,230.5263
1.96875,233.5789
1.97917,229.0000
1.98958,229.4211
2.00000,230.5263
2.01042,229.7368
2.02083,228.3684
2.03125,226.4737
2.04167,228.1579
2.05208,226.7895
2.06250,224.6842
2.07292,225.0000
2.08333,225.4737
2.09375,226.4211
2.10417,227.1053
2.11458,226.3158
2.12500,224.1579
2.13542,223.5789
2.14583,220.8421
2.15625,220.1053
2.16667,221.2105
2.17708,219.7895
2.18750,220.6842
2.19792,222.0526
2.20833,218.3684
2.21875,218.8947
2.22917,218.6842
2.23958,220.6316
2.25000,220.8421
2.26042,220.1053
2.27083,219.4211
2.28125,217.5263
2.29167,218.0000
2.30208,215.8421
2.31250,214.5789
2.32292,213.9474
2.33333,216.4737
2.34375,214.9474
2.35417,214.1053
2.36458,212.7895
2.37500,210.8421
2.38542,209.5789
2.39583,208.2105
2.40625,210.0526
2.41667,211.2632
2.42708,213.7895
2.43750,211.6842
2.44792,211.1053
2.45833,208.8947
2.46875,207.7895
2.47917,209.5789
2.48958,210.5263
2.50000,207.7895
2.51042,206.4737
2.52083,207.0526
2.53125,204.0000
2.54167,208.3158
2.55208,211.2105
2.56250,210.5789
2.57292,211.0526
2.58333,208.6316
2.59375,206.5789
2.60417,208.1053
2.61458,206.6316
2.62500,206.1053
2.63542,203.7368
2.64583,202.6316
2.65625,204.3684
2.66667,209.6842
2.67708,210.8421
2.68750,208.1579
2.69792,202.5789
2.70833,200.5789
2.71875,198.6842
2.72917,198.4211
2.73958,202.0000
2.75000,207.0526
2.76042,206.6316
2.77083,206.1053
2.78125,202.4211
2.79167,197.6316
2.80208,194.1053
2.81250,193.0000
2.82292,195.4737
2.83333,197.6842
2.84375,196.3684
2.85417,197.0526
2.86458,193.1053
2.87500,195.1579
2.88542,194.2632
2.89583,195.9474
2.90625,193.7895
2.91667,193.4737
2.92708,192.7895
2.93750,192.7368
2.94792,194.5263
2.95833,192.3158
2.96875,194.7895
2.97917,193.8947
2.98958,197.3684
3.00000,194.1053
3.01042,190.0000
3.02083,188.0000
3.03125,184.7895
3.04167,183.6842
3.05208,183.7895
3.06250,180.8421
3.07292,185.1053
3.08333,185.2632
3.09375,189.9474
3.10417,188.8947
3.11458,188.1053
3.12500,186.3684
3.13542,182.8947
3.14583,184.3158
3.15625,176.7368
3.16667,175.1053
3.17708,178.9474
3.18750,183.6316
3.19792,185.2105
3.20833,186.4737
3.21875,189.4737
3.22917,188.4211
3.23958,184.2105
3.25000,187.2105
3.26042,188.1579
3.27083,181.4737
3.28125,175.1053
3.29167,172.7368
3.30208,179.0526
3.31250,178.2105
3.32292,170.3158
3.33333,165.3158
3.34375,167.6842
3.35417,173.0526
3.36458,176.6842
3.37500,173.1053
3.38542,170.6842
3.39583,165.2632
3.40625,164.7368
3.41667,168.2632
3.42708,172.9474
3.43750,175.6842
3.44792,174.6316
3.45833,168.4737
3.46875,165.1053
3.47917,164.7368
3.48958,162.4211
3.50000,164.5263
3.51042,167.0526
3.52083,176.6842
3.53125,179.6316
3.54167,182.4211
3.55208,182.6316
3.56250,181.0526
3.57292,179.3158
3.58333,174.3158
3.59375,175.6842
3.60417,172.7895
3.61458,173.4737
3.62500,174.8421
3.63542,178.2632
3.64583,181.0526
3.65625,181.9474
3.66667,182.7368
3.67708,182.9474
3.68750,180.5263
3.69792,179.4211
3.70833,179.5263
3.71875,174.8947
3.72917,171.8421
3.73958,171.0526
3.75000,167.7368
3.76042,162.6842
3.77083,160.1579
3.78125,162.2632
3.79167,163.2632
3.80208,173.8947
3.81250,178.8421
3.82292,178.7895
3.83333,173.5789
3.84375,167.7895
